freq,c_resid,nace_r2,month,unit,geo\TIME_PERIOD,2020,2021,2022,2023,2024
A,DOM,I551-I553,TOTAL,NR,ITF6,4210219.0,5348243.0,6065688.0,6614203.0,6537862.0
A,DOM,I551-I553,TOTAL,NR,ITG1,5165065.0,6982941.0,8355072.0,8427343.0,8650869.0
A,DOM,I551-I553,TOTAL,NR,ITG2,4739031.0,6869523.0,7994435.0,7382591.0,7633588.0
A,DOM,I551-I553,TOTAL,NR,ITH1,8855000.0,9001916.0,10823496.0,10649009.0,10494103.0
A,DOM,I551-I553,TOTAL,NR,ITH2,7973937.0,8208278.0,10775002.0,11033318.0,11025390.0
A,DOM,I551-I553,TOTAL,NR,ITH3,17230354.0,22344562.0,21868391.0,22097826.0,21693890.0
A,DOM,I551-I553,TOTAL,NR,ITH4,2896065.0,3758713.0,4110859.0,4149828.0,4131497.0
A,DOM,I551-I553,TOTAL,NR,ITH5,19028583.0,25299960.0,28380339.0,28088683.0,28567193.0
A,DOM,I551-I553,TOTAL,NR,ITI1,15916940.0,19963549.0,20963298.0,20722001.0,19599594.0
A,DOM,I551-I553,TOTAL,NR,ITI2,2546477.0,3485343.0,4023867.0,4261852.0,4366760.0
A,DOM,I551-I553,TOTAL,NR,ITI3,6934627.0,8592636.0,9043229.0,8931093.0,8572481.0
A,DOM,I551-I553,TOTAL,NR,ITI4,6078612.0,8539507.0,15491575.0,16616726.0,16964475.0
